acinar cell	alveolar epithelial cell	amniotic epithelial cell	astrocyte	blood vessel endothelial cell	bronchial epithelial cell	bronchial smooth muscle cell	cardiac fibroblast	cardiac myocyte	cd14+ monocyte derived endothelial progenitor cell	chondrocyte	ciliated epithelial cell	corneal epithelial cell	dendritic cell - monocyte immature derived	endothelial cell of hepatic sinusoid	endothelial cell of lymphatic vessel	enteric smooth muscle cell	epithelial cell of malassez	epithelial cell of prostate	fat cell	fibroblast of choroid plexus	fibroblast of gingiva	fibroblast of lymphatic vessel	fibroblast of periodontium	fibroblast of tunica adventitia of artery	gingival epithelial cell	hair follicle cell	hepatic stellate cell	immature langerhans cell	keratinocyte - epidermal	keratocyte	kidney epithelial cell	lens epithelial cell	lymphocyte of b lineage	macrophage	mammary epithelial cell	mast cell	melanocyte - light	mesenchymal precursor cell	mesenchymal somatic cell	mesenchymal stem cell - adipose	mesenchymal stem cell - amniotic membrane	mesenchymal stem cell - bone marrow	mesenchymal stem cell - hepatic	mesenchymal stem cell - umbilical	mesothelial cell	migratory langerhans cell	monocyte	multipotent cord blood unrestricted somatic stem cell	myoblast	natural killer cell	neuron	neuronal stem cell	neutrophil	osteoblast	pericyte cell	placental epithelial cell	preadipocyte	reticulocyte	retinal pigment epithelial cell	sensory epithelial cell	skeletal muscle cell	skin fibroblast	small airway epithelial cell	smooth muscle cell of prostate	smooth muscle cell of trachea	stromal cell	t cell	tendon cell	trabecular meshwork cell	tracheal epithelial cell	urothelial cell	vascular associated smooth muscle cell
cholangitis, sclerosing	1	1	1	1	0.77002075384456	1	1	1	1	0.986942932645102	1	0.466040448385715	1	0.944666294723946	3.45251221440705e-08	1	1	1	1	1	1	1	1	1	1	1	1	0.0145021848191488	0.462596999085271	0.688307094705796	1	1	1	5.91607080244221e-12	0.99983832161732	1	0.363569044295465	1	1	1	1	1	0.998140003251453	1	1	0.466040448385715	0.462596999085271	0.986942932645102	1	1	0.0356966973945678	1	1	6.74199356495262e-07	0.948022132189518	1	1	1	1	1	0.466040448385715	1	1	0.882700155796934	1	1	1	0.000115641013546934	1	1	1	1	1
cholelithiasis	0.415675583557011	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999987130180899	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998946726969155	1	1	1	1	1	1	1	0.999999504407016	1	1	1	1	1	1	1	1	1	0.998946726969155	1	1	1	1	1	1	1	1	1	1	1	0.973947470688948	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cholestasis	1	1	1	0.999999999998447	0.999930884216007	0.97999741359405	1	1	0.999999927432261	0.969276821213341	1	2.46412276424713e-07	1	0.999998501316222	2.06003116881287e-223	1	1	1	1	0.999997232019097	1	1	1	1	1	1	1	6.27676264340953e-23	0.940825604218397	0.999998879965285	1	0.975895342731124	1	0.24280274360857	0.0319758189710872	1	0.940903968455016	0.999794746080562	1	1	1	1	1	1	1	2.46412276424713e-07	0.940825604218397	0.969276821213341	1	1	0.19637927442578	1	1	0.0446504778196376	0.999952034406643	0.834823468408715	0.491890379199178	1	0.998668043560191	1	2.46412276424713e-07	0.999999999999801	0.999970788717575	0.999998558832077	1	1	0.999999999999996	6.94876908780082e-05	1	1	1	1	0.990893668795633
cholesteatoma	1	1	1	1	1	1	1	1	1	0.928349757514053	1	8.10225793417915e-14	1	1.14916977483523e-08	1	0.0731946815223399	1	1	1	1	1	1	1	1	1	1	1	1	3.40417507556546e-28	6.86877079584227e-85	1	0.927271945193204	1	0.999995100357329	0.0356256356203267	1	0.02201600937186	0.589759804708047	1	1	1	1	0.999999790555112	1	1	8.10225793417915e-14	3.40417507556546e-28	0.928349757514053	1	1	1	1	1	0.999977991700937	0.597291433470728	1	1	1	1	1	8.10225793417915e-14	1	3.37728281625627e-05	0.728552133925295	1	1	0.790423258628474	0.99999999913826	1	1	1	1	1
chronic periodontitis	1	1	1	1	1.52990253010023e-08	1	1	1	1	6.94729743801838e-05	1	2.85682158715903e-12	1	2.72706392997054e-06	1	0.0233856176339005	1	0.0386504677196929	1	1	1	7.81306776780458e-59	1	1.15561515657375e-67	1	1.82015355466483e-91	1	1	0.000429834794155438	0.0023125779090768	1	1	1	1.32921633694086e-10	0.000307668324637314	1	0.499425405572527	1	0.325140810341824	0.325140810341824	1	1	0.232537864350028	1	1	2.85682158715903e-12	0.000429834794155438	6.94729743801838e-05	1	1	0.225310379899786	1	1	1.18864750504592e-14	0.0822030674411368	1	1	1	1	1	2.85682158715903e-12	1	1	1	1	1	0.154362490957032	2.99906859160452e-10	1	1	1	1	1
chylothorax	1	1	1	1	1	1	1	1	1	0.995356732114877	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.989431591386903	0.999992720094698	1	1	1	1	1	1	1	0.999999872211894	1	1	1	1	0.995356732114877	1	1	0.97616761985866	1	1	0.99539372354942	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999997211202879	1	1	1	1	1
cirrhosis	1	1	0.382449946551365	0.999999999930044	0.999176085923394	0.999941347366466	1	0.999594704038685	1	0.0344992834522193	0.999999999999999	1.30077142499015e-15	1	0.999999999999976	9.98012604599318e-322	0.280965847055402	1	1	0.993032925105021	0.00569588444275222	1	1	1	1	1	1	1	9.98012604599318e-322	0.999805651223041	1	1	0.999999980692556	1	0.971532949731943	1.16924032133199e-22	1	0.993757271524586	0.999999999961892	0.00123578518072398	0.00123578518072398	0.674185843949127	0.325440944755465	0.9993427858332	2.66880118267303e-36	0.229033430770816	1.30077142499015e-15	0.999805651223041	0.0344992834522193	0.229033430770816	0.998502377751664	1.05389274344663e-05	1	1	0.000670857605364978	1	0.16593832469571	1	1	0.981214848813034	1	1.30077142499015e-15	1	0.999999999262685	1	1	1	0.520620434515036	0.606956979454895	1	1	1	1	0.997111478968731
cleft lip with or without cleft palate	1	1	1	1	1	1	1	1	0.999956163191924	0.999999999990642	0.686412352367028	1	0.419509268446855	1	1	1	1	0.0341477352937616	1	1	1	1	1	1	1	1	1	1	1	0.961371478740883	1	1	1	1	1	1	1	0.939217440652852	0.970052999025266	0.970052999025266	1	1	1	1	1	1	1	0.999999999990642	1	1	1	1	1	1	0.999992930266889	1	1	1	0.994567044397145	1	1	0.940754200666823	0.950098067528679	0.999815014775281	1	1	0.999798280010652	1	1	1	1	1	1
cluster headache	1	1	1	1	1	1	1	1	1	0.0197146455169196	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.1347320450348e-05	1	1	1	1	1	0.870994123461329	1	1	1	1	0.0197146455169196	1	1	0.106278212111872	0.00585839318021779	1	0.118644760878101	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999337228554	1	1	1	1	1
cocaine abuse	1	1	1	0.360487686137542	0.95725643307827	1	1	1	0.996858596725464	0.992647163703268	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999991428	1	0.989120192066201	0.910199910565098	1	1	1	1	0.999999999996249	1	1	1	1	0.992647163703268	1	1	0.999920999842969	7.82774115948232e-20	1	0.999999890056179	1	1	1	1	1	1	1	1	1	0.989914118358082	1	1	1	1	1	1	1	1	1
cocaine dependence	1	1	1	0.360487686137542	0.95725643307827	1	1	1	0.996858596725464	0.992647163703268	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999991428	1	0.989120192066201	0.910199910565098	1	1	1	1	0.999999999996249	1	1	1	1	0.992647163703268	1	1	0.999920999842969	7.82774115948232e-20	1	0.999999890056179	1	1	1	1	1	1	1	1	1	0.989914118358082	1	1	1	1	1	1	1	1	1
colitis, ulcerative	1	1	1	0.999999999999845	0.999448727859408	1	1	1	0.999999999999534	5.08155929507966e-37	1	0.94894975942732	1	0.0137073675533197	0.999999999966914	0.332681012809981	4.23997416754178e-05	1	1	0.99999996991721	1	1	1	1	1	1	1	1	0.997082122781235	1	1	1	1	1.28456041442978e-15	0.000115592303246795	1	5.53019486573567e-14	1	0.999982182913844	0.999982182913844	1	1	4.51227446561141e-17	1	1	0.94894975942732	0.997082122781235	5.08155929507966e-37	1	1	0.00556496516293311	1	1	4.3570358937586e-62	0.999999999999149	1	1	1	0.98226400801502	1	0.94894975942732	0.999999999999991	0.999951546945678	0.22068649310079	1	1	0.999767581341394	3.23062627530029e-52	1	1	1	1	1
colonic polyps	1	1	1	1	1	1	1	1	1	1	1	0.999999999768253	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.95961574442456	1	0.999896689664793	0.999995345518836	1	0.998634428872434	1	1	1	1	1	1	1	1	0.999999999768253	1	1	1	1	0.999926958285708	1	1	0.999865059540171	1	1	1	1	1	1	0.999999999768253	1	0.659500325301491	0.945274096463682	1	1	0.700612659358494	1	1	1	1	1	1
colorectal cancer metastatic	0.917854857513566	0.942872235196427	0.990820451723359	1	0.998077891338148	0.999998017670742	1	0.999999990530832	1	0.999999985115367	1	9.98012604599318e-322	0.999999792002656	2.58035283602567e-14	0.999999996581965	0.647097183402432	0.00380746227950177	0.97480731177579	0.896558315190469	1	1	0.999998278718777	0.0326113889968534	0.999999993451373	1	0.99907615989592	1	0.578646219267505	0.999999995360114	1	1	0.999995904293997	1	1	1	0.998554444262682	1	0.999908460429032	0.999999999999916	0.999999999999916	1	1	1	1	0.862102775756978	9.98012604599318e-322	0.999999995360114	0.999999985115367	0.862102775756978	0.999999999937349	2.77380474044561e-93	1	1	1	1	0.157758146825647	0.999832111516247	0.997951589580498	1	1	9.98012604599318e-322	1	0.840085638336701	0.999999989381848	0.304546765593347	1	3.05615314451568e-13	0.756059842373438	1	1	0.99968304434084	1	0.99999999998135
common variable immunodeficiency	1	1	1	0.808858237304246	1	1	1	1	1	2.07676043763508e-13	1	0.105601770674618	1	2.46235031084909e-14	0.550803412113782	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.715797516881708	1	1	1	9.98012604599318e-322	0.680859818418529	1	0.799795788004799	1	1	1	1	1	2.23154091352911e-11	1	1	0.105601770674618	1	2.07676043763508e-13	1	1	5.89877602041713e-06	0.999999999896688	1	0.100895301744513	1	1	1	1	0.49627857678847	1	0.105601770674618	1	1	1	1	1	0.861954963740107	3.29527208972285e-222	1	1	1	1	1
congenital central hypoventilation syndrome	1	1	1	0.905169528234353	1	1	1	1	0.938252951904482	1	1	0.999999999630141	1	1	1	1	1	1	1	0.749266864393731	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999997500596875	1	1	0.569833579271482	0.796651010414774	0.796651010414774	1	1	0.999999204442302	1	1	0.999999999630141	1	1	1	1	1	9.03121380847784e-10	0.321525157935477	1	1	1	1	1	1	1	0.999999999630141	0.846004532614452	1	0.799884790061792	1	1	0.940331422268891	1	1	1	1	1	1
congenital myopathy with fiber type disproportion	1	1	1	1	1	1	1	0.121123013665585	7.87008568712815e-67	1	1	0.998476153001025	1	1	1	1	1	1	1	0.432043534706134	1	1	1	1	1	1	1	1	1	1	1	1	1	0.951069845592786	1	1	1	1	1	1	1	1	1	1	1	0.998476153001025	1	1	1	5.82613851963894e-14	1	0.910063136760475	1	1	1	1	1	1	1	1	0.998476153001025	9.98012604599318e-322	1	1	1	1	1	0.999958104969355	1	1	1	1	1
congestive heart failure	1	0.499556146255605	0.936135719412571	1	0.590489338383656	1	1	7.03612780524152e-90	9.98012604599318e-322	1	1	1	1	1	1	1	0.450799081837877	1	1	0.999999999998174	1	1	1	1	1	1	1	1	1	1	1	0.999999999999498	1	1	1	1	0.999999999031754	1	0.924570207519488	0.924570207519488	0.928179992644783	0.385763257999787	1	0.557760240340655	0.605127439487745	1	1	1	0.605127439487745	4.61999037679764e-64	1	1	1	1	1	0.914602326941631	1	1	0.999999999998922	1	1	9.98012604599318e-322	1	1	1	1	0.999999991099689	1	1	1	1	1	0.999938364109843
coronary arteriosclerosis	1	1	1	1	1.19279286934062e-50	1	1	0.33394211637282	0.38527284302404	1.83048723800878e-29	1	1	0.991651200197261	0.999999911124799	0.999999999999999	1	1	1	1	0.93129296001798	1	1	0.0711825939618894	1	1	1	1	1	1	0.999999999999987	1	0.999999997657258	1	1	2.35334046557971e-18	1	0.985645742038262	0.999999708305362	0.984913841638439	0.984913841638439	0.852443461215043	1	0.421219832322674	1	1	1	1	1.83048723800878e-29	1	0.996227311207073	0.999999999990821	1	1	0.999487627210448	1	0.44778075427755	1	0.933129308024585	0.999999972610455	1	1	1	0.999999821238098	1	1	1	0.999998943449213	1	1	1	1	1	1.04067726406139e-20
coronary artery disease	1	1	1	1	1.19279286934062e-50	1	1	0.33394211637282	0.38527284302404	1.83048723800878e-29	1	1	0.991651200197261	0.999999911124799	0.999999999999999	1	1	1	1	0.93129296001798	1	1	0.0711825939618894	1	1	1	1	1	1	0.999999999999987	1	0.999999997657258	1	1	2.35334046557971e-18	1	0.985645742038262	0.999999708305362	0.984913841638439	0.984913841638439	0.852443461215043	1	0.421219832322674	1	1	1	1	1.83048723800878e-29	1	0.996227311207073	0.999999999990821	1	1	0.999487627210448	1	0.44778075427755	1	0.933129308024585	0.999999972610455	1	1	1	0.999999821238098	1	1	1	0.999998943449213	1	1	1	1	1	1.04067726406139e-20
coronary disease	1	1	1	1	6.7903943215068e-25	0.99999999998592	1	0.757444271238358	0.0571214988451384	0.92771325695916	1	1	0.999999999792063	1	1	1	1	1	1	1	1	1	0.291068517835716	1	0.182832225847835	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999865534114741	1	1	1	1	1	1	0.92771325695916	1	0.999999993469815	1	1	1	1	1	0.996611197519554	1	0.999954029085315	1	1	1	0.991531837844756	1	1	1	1	1	1	1	1	1	1	1.05274265217634e-23
coronary stenosis	1	1	1	1	3.47197318511543e-28	1	1	1	0.0717237089364655	0.0728343696707773	1	0.999999999996929	1	0.999915306325544	0.99999991736999	1	1	1	1	0.999812313185827	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999995466994724	1	0.999921088050508	1	0.968342262393292	0.968342262393292	1	1	0.99997906763823	1	1	0.999999999996929	1	0.0728343696707773	1	0.964787032787658	0.999999973294223	1	1	0.99999915440484	1	0.576228250105518	1	1	1	1	0.999999999996929	0.999999760634238	1	1	1	1	0.999525057083787	1	1	1	1	1	2.54632664988907e-54
coronary vasospasm	1	1	1	1	0.00851782163275628	1	1	1	0.809089002746734	0.937986705569061	1	0.999999999999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.93918455641219	1	1	1	1	0.999985052746162	1	0.00120084822089571	1	1	1	1	1	0.999999403884343	1	1	0.999999999999999	1	0.937986705569061	1	1	1	1	1	0.893080913318942	1	1	1	1	1	1	0.999999999999999	0.892590225369628	1	1	1	1	1	0.999999999984757	1	1	1	1	1
creutzfeldt-jakob syndrome	1	1	1	6.73360571450737e-60	1	1	1	1	1	0.993421787779066	0.938387082431744	1	0.498020195784106	0.99866461829124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998428026257378	0.999845819900419	1	1	1	0.914885694262728	0.914885694262728	1	1	0.999999995750664	1	1	1	1	0.993421787779066	1	1	1	1.55757402091718e-52	0.63082392958926	0.999999962647889	1	1	1	1	1	1	1	1	0.805093859759759	0.983964394859774	1	1	0.975289443187727	1	1	1	0.325922585081993	1	1
crohn disease	1	1	1	1	0.999350129942629	1	1	1	1	8.95675228051761e-44	1	0.463121438670047	0.976170760083281	7.34503502040573e-15	1	1	2.46413191068603e-09	1	1	0.801293043187283	1	1	1	1	1	1	1	1	0.956716620660259	0.999999999619086	0.199981044974436	1	1	6.92271527403362e-17	6.47575740142139e-16	1	3.48686644535201e-09	1	0.889626825800486	0.889626825800486	0.189367897640646	1	1.38920215924681e-17	1	1	0.463121438670047	0.956716620660259	8.95675228051761e-44	1	1	0.00211123949907107	1	1	2.53087266978268e-34	0.999999944021067	1	1	0.879026271600564	0.999344181215638	1	0.463121438670047	0.999999999999987	0.999999926327817	0.64399031863243	1	1	0.989694322673175	8.98541512384853e-121	1	1	1	1	1
cryptococcosis	1	1	1	0.999598522073384	0.305370453293967	0.631470439984496	1	1	1	0.0189578002849341	1	0.999999999999975	1	0.000376185596719497	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.787274739161289	1	1	0.975237197136284	1	0.328994341877516	6.00713581540431e-80	1	0.999500266732366	1	1	1	1	1	0.933151292263755	1	1	0.999999999999975	0.787274739161289	0.0189578002849341	1	1	1.54495638352935e-06	1	1	1.16564688887537e-05	1	1	1	1	1	1	0.999999999999975	1	1	0.170918121235677	1	1	1	3.72182365534679e-52	1	1	1	1	1
cushing's symphalangism	0.0177473329331748	1	1	1	1	1	1	0.99999991243808	1	1.97648344844861e-134	9.98012604599318e-322	1	0.999999993758162	0.374521705079444	1	0.911531166336901	0.556649177518683	0.998822372029953	1	1	1	0.999999515157235	1	0.999999997047163	1	0.999961724868011	1	1	0.999999999945581	1	1	1	0.819392520536294	9.98012604599318e-322	1.56436755043354e-125	0.999999999995909	0.80860472774736	1	5.31081221301084e-10	5.31081221301084e-10	0.190872962385035	1	1.98047631874487e-07	1	0.44963099130752	1	0.999999999945581	1.97648344844861e-134	0.44963099130752	1	0.999052848865112	1	1	7.27980822593115e-240	1.01012303348497e-07	0.999969138410228	0.999999878678263	0.999992386909093	1	1	1	1	0.994030686533591	1	1	1	0.0647122973984381	9.98012604599318e-322	0.0829436296018201	1	0.99999999559588	1	1
cystitis, interstitial	1	1	1	0.811856448354386	1	1	1	1	1	0.965642646699913	1	0.848130558001504	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.423308886999689	0.998916899484851	1	3.71542788081915e-84	1	0.676830138840925	0.676830138840925	1	1	0.999952730355153	1	1	0.848130558001504	1	0.965642646699913	1	1	1	0.0447374691674658	1	0.949001730338666	1	1	1	1	1	1	0.848130558001504	1	1	1	1	1	0.864542152242812	0.998476572619609	1	1	1	2.55148336659289e-09	1
cytomegalovirus infections	1	1	1	0.820090502764761	0.0786871293250911	0.946366432732354	1	0.953663519382083	0.999999999998289	1.91997601664522e-26	0.999973945156065	0.99903758460592	1	3.3197102875332e-17	0.999999836506786	1	1	0.407625217554581	1	0.99997934346332	1	0.292748415757239	1	0.501311190059462	1	1	1	1	0.940653060496631	0.999971473401093	1	0.752907863170456	1	1.16831316665463e-09	0.000636937031021949	1	0.999999942558586	1	0.994430582082362	0.994430582082362	1	1	1.96291012276263e-30	0.179537234673583	0.39079221182219	0.99903758460592	0.940653060496631	1.91997601664522e-26	0.39079221182219	1	1.79569986878989e-217	1	0.977043826610597	2.87614400562572e-14	1	0.739907050286645	0.00172463490913352	1	0.99992499597072	0.0402755282443003	0.99903758460592	0.999999999999739	0.000357570813909154	0.909687922688341	1	1	0.911134715211162	9.98012604599318e-322	1	1	0.775488154648753	1	0.865537235921474
deafness	1	1	1	0.999999999642879	1	1	1	0.964997447639257	0.999999999309585	1	1	1	1	1	0.999999999978269	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.996149017840227	1	0.999992709471686	1	1	1	1	0.999999999972375	6.08642964131807e-05	0.999999954824698	0.999999954824698	1	1	1	1	1	1	1	1	1	1	1	3.14054675909212e-34	0.916710735358469	1	0.999999998574135	1	0.740574641675282	1	0.999641682622212	1.64748704409293e-06	1	0.999999999782465	0.994719280550736	0.999962010980988	1	1	0.9999999999999	1	1	1	1	0.211746178537278	1
deafness, autosomal dominant	1	1	1	0.999994217541414	0.999494235170483	1	1	1	1	1	0.999945583866492	1	0.437397805432772	0.999999999999977	0.999999998851928	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999999087378	1	0.935866155415301	1	1	1	1	1	3.99870468754105e-08	0.998670731719207	0.998670731719207	1	1	1	1	1	1	1	1	1	0.992423912341813	0.99999999949903	9.98012604599318e-322	0.276229589067153	0.999999999832166	0.999999998119458	0.714283192912003	1	1	1	6.59584871838114e-07	1	0.999999556499439	0.999976816583342	0.998806955795535	1	1	0.999999826736905	1	1	1	1	1	1
death, sudden	1	1	1	0.972638778090913	0.999931858365834	0.980086122321305	1	0.392541854694723	3.02638510943143e-63	1	1	1	1	0.999999999999996	1	1	1	1	1	0.999997282216483	1	1	1	1	1	1	1	1	1	1	1	0.999999500598736	1	1	1	1	0.191496067524079	0.999983083896529	1	1	1	1	1	1	1	1	1	1	1	0.999112032172968	1	1	0.993605417510269	1	0.999999999999723	0.835161076777167	1	1	1	1	1	4.21021668493172e-11	0.999841808889999	0.998855816627948	1	1	1	1	1	1	0.593749417521806	1	0.948304502269014
death, sudden, cardiac	1	1	1	0.999994285586591	0.920685717561614	1	1	0.0811925008991543	4.17318167682587e-74	0.999999539877392	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999999998	1	0.999345519236595	1	1	1	1	1	1	1	1	1	1	0.999999539877392	1	0.937012708356103	1	1	1	0.999999999999059	0.999988541337132	1	1	1	1	1	1	7.61771568957035e-14	0.997625515142474	0.997571795955615	1	1	1	1	1	1	1	1	1
deep vein thrombosis	1	1	1	1	0.976913897761804	1	1	1	1	0.99999999999855	1	1	1	1	0.999999999999591	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999996497273	1	1	1	1	0.999999999978062	1	0.999999999999991	0.999999999999991	1	1	1	1	1	1	1	0.99999999999855	1	1	1	1	1	1	1	0.939922164052441	0.924356704022416	1	0.999999949199001	0.482226084746099	1	1	0.999999999014471	1	1	1	1	1	1	1	1	1	0.999349537390454
delirium	1	1	1	0.998276531528654	1	1	1	1	1	0.999997348794329	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999999999	1	1	1	1	1	1	1	1	1	1	1	1	0.999997348794329	1	1	0.998686039757688	1	1	0.999999984536606	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dementia	1	1	0.888377097368851	9.98012604599318e-322	0.987851541099242	1	1	0.999999968731862	1	0.322915941952632	1	1	0.999999580611951	1	1	1	1	1	0.99977259948869	1	1	1	1	1	1	1	1	1	0.999999997072906	1	1	1	1	1	1	1	1	0.999999999999982	0.999999999527784	0.999999999527784	0.931808944353054	0.485713443277327	1	1	0.766444036162586	1	0.999999997072906	0.322915941952632	0.766444036162586	0.999989877582554	1	9.98012604599318e-322	3.63406725925051e-34	1	1	4.94996562933193e-10	0.999046452847567	0.99975151513462	1	0.830223740095227	1	1	1.34215935315241e-07	1	1	1	1	1	1	1	0.999775935347249	1	0.956120983034877
dementia, vascular	1	1	1	7.56962060833792e-07	0.000497151675205057	1	1	1	1	0.99695103028402	1	1	1	1	0.998394335478641	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999985603894	0.99999984354408	1	1	1	1	1	1	1	0.999999996680389	1	1	1	1	0.99695103028402	1	0.73291953761382	0.696976543503641	1.44733907658951e-50	0.245512468203984	0.999999916002458	0.995627480008787	7.42623782346954e-08	1	1	1	1	1	0.999717341356636	0.783028671391687	1	1	1	0.998990563169732	1	1	1	1	1	4.1811311702075e-06
dengue hemorrhagic fever	1	1	1	1	0.407151080493421	1	1	1	1	2.29292342886982e-09	1	6.58969434925548e-08	1	0.00153042122700064	0.0377082759471663	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.140763642194489	0.569834895757952	1	0.295243241062914	1	1	1	1	1	0.00018169385880459	1	1	6.58969434925548e-08	1	2.29292342886982e-09	1	1	0.463941321216687	0.999999997070387	1	0.957342145098359	1	1	1	1	1	1	6.58969434925548e-08	1	1	1	1	1	1	1.87079688182535e-08	1	1	1	1	1
dental caries	1	1	1	1	0.999999784369661	1	1	1	1	1	0.999999984823719	1	1	0.999999999999987	1	1	1	0.590614844345906	1	0.999999999892881	1	0.401410511255945	1	0.480851302895799	1	0.504995944263455	1	1	0.999563587133576	0.999999999996197	1	1	1	1	1	1	0.999999999999976	1	0.999999988519966	0.999999988519966	1	1	1	1	1	1	0.999563587133576	1	1	1	1	1	1	1	0.999999999999928	1	1	1	1	1	1	1	1	0.999999999997461	1	1	0.999999999999999	1	1	1	1	1	1
depression	1	1	1	0.999999447223269	0.999999999999998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.905294203730198	1	0.999929096920008	1	1	1	1	1	0.999999999999992	1	1	1	0.99999999999998	1	1	1	1	1	1	1	1	1	1
depression, postpartum	1	1	1	1	1	1	1	1	1	0.999434632047744	1	1	1	1	1	1	1	1	1	0.886539960397038	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999746156	1	1	1	1	0.999434632047744	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999999988	1	1	1	1	1
depressive disorder, major	1	1	1	0.0215484295333585	1	1	1	1	0.999999999979591	0.999999986157367	1	1	1	1	0.999999999919371	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999986157367	1	1	0.612315584652378	0.999999998636336	0.856344942602849	1	1	1	1	1	1	1	1	0.999999999999848	0.999970255488063	1	1	1	1	1	1	1	1	1	1
dermatitis and eczema	1	1	1	1	0.988832760195768	1	1	1	1	0.806788879267312	1	0.999999999999957	1	0.000711571140883645	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.54328068301666e-13	1.02759854084094e-09	1	1	1	0.157029803499992	0.999999965714783	1	0.00741790668258328	0.96781744751838	1	1	1	1	0.999998550356688	1	1	0.999999999999957	2.54328068301666e-13	0.806788879267312	1	1	0.999850882744332	1	1	0.454810528644586	1	1	1	1	1	1	0.999999999999957	1	0.952377295175813	0.998575151885851	1	1	0.999989695971995	0.000602801070741339	1	1	1	1	1
diabetes	7.0106135213642e-09	1	0.99947990929756	1	4.14757683903342e-55	1	1	0.994358659729212	2.31636097442228e-09	0.359439969192909	1	4.69905748117181e-215	0.999971713470788	0.999948028040926	0.000587100808922204	0.990843538950265	0.885839559275684	0.887797942557138	0.999999540188681	9.98012604599318e-322	1	0.999921065007412	1	0.999994250804184	1	0.711983653478949	1	0.999995886457771	0.999999460937977	1	0.673839479285068	5.14386297168811e-159	1	1	1	0.999999999968559	1	1	0.70666051772827	0.70666051772827	0.682750610671848	0.828792717378533	1	0.172835350869635	0.205627854333381	4.69905748117181e-215	0.999999460937977	0.359439969192909	0.205627854333381	0.994475855366435	1	1	0.999999999751405	1	1	9.94967790515358e-91	0.815021197374401	3.45957560470255e-32	1	0.00103193126104003	4.69905748117181e-215	0.909769094904074	0.21041469381137	1	1	1	0.999999999999145	3.66259273089495e-38	1	1	0.99999999517118	1	1.39084192844969e-08
diabetes insipidus, neurogenic	1	1	1	1	1	1	1	1	1	1	1	0.957647507336978	1	0.138510758311097	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00359490295305474	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.957647507336978	0.00359490295305474	1	1	0.0961893966108756	1	0.0896704244652696	1	0.712950033187616	1	1	1	1	1	1	0.957647507336978	1	1	1	1	1	1	0.944422034236639	1	1	1	1	1
